Row_ID,Order_ID,Order_Line_No,Order_Date,Product_ID,Product_Name,Unit_Price,Order_Quantity,Sub_Total,Total_Amount,Customer_Name,Customer_ID
1,1,1,13/10/2010,6,"Oranges",0.5,2,1.0,2.0,"John ",5
2,1,2,13/10/2010,1,"Apples",1.0,1,1.0,2.0,"John",5
3,2,1,13/10/2010,7,"Pears",0.8,2,1.6,1.6,"Mary",4
4,3,1,13/10/2010,2,"Banana",3.0,1,3.0,5.0,"Ben",3
5,3,2,13/10/2010,6,"Oranges",0.5,4,2.0,5.0,"Ben",3
6,4,1,13/10/2010,1,"Apples",1.0,2,2.0,2.0,"Peter",9
7,5,1,13/10/2010,6,"Oranges",0.5,6,3.0,11.4,"Ali",6
8,5,2,13/10/2010,2,"Banana",3.0,2,6.0,11.4,"Ali",6
9,5,3,13/10/2010,7,"Pears",0.8,3,2.4,11.4,"ALi",6
10,6,1,14/10/2010,7,"Pears",0.8,3,2.4,2.4,"Danny",11
11,7,1,14/10/2010,6,"Oranges",0.5,2,1.0,2.0,"John ",5
12,7,2,14/10/2010,1,"Apples",1.0,1,1.0,2.0,"John",5
13,8,1,14/10/2010,7,"Pears",0.8,2,1.6,1.6,"Mary",4
14,9,1,14/10/2010,2,"Banana",3.0,2,6.0,8.0,"Ben",3
15,9,2,14/10/2010,6,"Oranges",0.5,4,2.0,8.0,"Ben",3
16,10,1,14/10/2010,1,"Apples",1.0,2,2.0,6.0,"Lee",2
17,10,2,14/10/2010,6,"Oranges",0.5,4,2.0,6.0,"Lee",2
18,11,1,14/10/2010,2,"Apples",1.0,2,2.0,6.8,"Sarah",12
19,11,2,14/10/2010,7,"Pears",0.8,6,4.8,6.8,"Sarah",12
20,12,1,14/10/2010,7,"Pears",0.8,3,2.4,2.4,"Danny",11
21,13,1,15/10/2010,6,"Oranges",0.5,2,1.0,2.0,"John ",5
22,13,2,15/10/2010,1,"Apples",1.0,1,1.0,2.0,"John",5
23,14,1,15/10/2010,7,"Pears",0.8,2,1.6,1.6,"Mary",4
24,15,1,15/10/2010,2,"Banana",3.0,1,3.0,5.0,"Ben",3
25,16,2,15/10/2010,6,"Oranges",0.5,4,2.0,5.0,"Ben",3
26,17,1,15/10/2010,1,"Apples",1.0,2,2.0,6.0,"Lee",2
27,18,2,15/10/2010,6,"Oranges",0.5,4,2.0,6.0,"Lee",2
28,19,1,15/10/2010,2,"Apples",1.0,2,2.0,4.4,"Sarah",12
29,20,2,15/10/2010,7,"Pears",0.8,3,2.4,4.4,"Sarah",12
30,21,1,15/10/2010,7,"Banana",3.0,3,9.0,11.4,"Ali",6
31,22,2,15/10/2010,7,"Pears",0.8,3,2.4,11.4,"Ali",6
